source_live,target_live,target_total_sessions,source_user_count,target_ge1_user_count,target_ge1_rate,target_ge2_user_count,target_ge2_rate,target_ge3_user_count,target_ge3_rate,target_active_ge1_user_count,target_active_ge1_rate
乃琳_鸣潮,嘉然_鸣潮,4,27285,16062,0.5887,10141,0.3717,5841,0.2141,13266,0.4862
乃琳_鸣潮,乃琳_电台,2,27285,6806,0.2494,2286,0.0838,0,0.0,5265,0.193
乃琳_鸣潮,乃琳_3D,2,27285,4752,0.1742,1563,0.0573,0,0.0,3556,0.1303
乃琳_鸣潮,乃琳_团播,1,27285,4259,0.1561,0,0.0,0,0.0,3295,0.1208
乃琳_鸣潮,贝拉_终末地,2,27285,4015,0.1472,1101,0.0404,0,0.0,3110,0.114
乃琳_鸣潮,嘉然_团播,1,27285,3730,0.1367,0,0.0,0,0.0,2868,0.1051
乃琳_鸣潮,嘉然_电台,2,27285,3561,0.1305,1095,0.0401,0,0.0,2716,0.0995
乃琳_鸣潮,嘉然_3D,2,27285,3064,0.1123,906,0.0332,0,0.0,2272,0.0833
乃琳_鸣潮,嘉然_电影,1,27285,2421,0.0887,0,0.0,0,0.0,1820,0.0667
乃琳_鸣潮,贝拉_3D,1,27285,1687,0.0618,0,0.0,0,0.0,1294,0.0474
